country_code,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
AD,AND,4,14.0470822754065,,14.7167146382157,13.9966715872475,,7.7,40886,3154057987,,42.558333,164.394,33.5,0.597256196207856,0.0020060829612373,77265
AE,ARE,5,29.4458216463415,16.8,2.6005412855898,2.49486964734569,20.140679435263,16.3,43103,421142267937,0.659,24.4,118.306,28.9,0.103210082504247,0.000236795276227453,9890400
AF,AFG,6,15.0379808044077,29.8,3.91156788533188,3.91734005042174,,9.2,502,19101353832,0.389,33,59.627,,0.00505192348166083,0.000200136964480454,38928341
AG,ATG,0,27.1411839989879,22.6,7.49479839559626,7.03731861811135,,13.1,17790,1727759259,,17.116667,222.564,,0.0919859488603872,0.00148067968303243,97928
AI,AIA,NaN,27.4584820020243,,12.9656181896836,12.6836889584313,,,,,,18.227222,166.689,,0.257032395680576,0.00079989334755366,15002
AL,ALB,4,15.7200862611789,17,1.72792076752474,1.75419517741334,0.783071886588238,9,5352,15278077446,0.621,41,99.6,28.7,0.115338836588671,0.00125278304040592,2862427
AM,ARM,2,,22.3,8.01713888831775,7.93828634525657,1.25079969600103,6.1,4622,13672802157,0.572,,104.083,24.1,0.148250863752238,0.00292551988806824,2963234
AO,AGO,3,22.7927157920998,16.5,3.47841271953613,5.61932098635065,0.171215063761272,4.5,2973,94635415869,0.361,-12.35,26.363,,0.00313789819817383,0.0000583272812820513,32866267
AR,ARG,5,17.5987238629442,15.8,0.581938407580529,0.634035893379775,0.713567003563304,5.9,10006,449663446954,0.611,-34,16.515,21.8,0.215799754118454,0.00288904586317472,44938712
AS,ASM,NaN,27.1833549078014,,,,,,11466,636000000,,-14.295833,275.985,,0.148866786238383,0.000615975505915177,55197
AT,AUT,2,9.68834602741117,11.4,1.18093655161126,1.22625243332176,24.720401202238,6.6,51448,455140042000,0.793,48,107.1,29.6,0.565373316288087,0.00233260241963477,8858775
AU,AUS,0,20.4169815807107,9.1,0.884540956060579,2.81667221224968,3.33766934032637,5.6,54907,1392680589329,0.803,-28,3.319,14.7,0.397047774458242,0.000567649707855499,25499881
AW,ABW,NaN,27.5079134827935,,1.76649441223285,1.78539551238282,3.71372908978514,11.6,29007,3056424581,,12.511063,593.144,,0.402468950789577,0.00213551130509713,106766
AZ,AZE,2,15.4031292560976,22.2,1.10613267127481,1.26479647901288,1.12858294683739,6.1,4793,48047647058,0.597,40.3,122.664,20.8,0.0807031144052647,0.000972860217917138,10139175
BA,BIH,2,12.0484739390863,17.8,12.7419558859613,13.6927939580634,0.781490663120685,9,6073,20047848434,0.618,44,64.33,38.9,0.121148860877556,0.00490792684134887,3280815
